Date,Open,High,Low,Close,Adj Close,Volume
2021-10-15,2630.000000,2710.000000,2610.000000,2610.000000,2610.000000,7307300
2021-10-18,2610.000000,2630.000000,2570.000000,2570.000000,2570.000000,4145300
2021-10-19,2570.000000,2600.000000,2420.000000,2440.000000,2440.000000,8333700
2021-10-21,2500.000000,2500.000000,2410.000000,2420.000000,2420.000000,2765600
2021-10-22,2430.000000,2430.000000,2380.000000,2410.000000,2410.000000,1321500
2021-10-25,2410.000000,2500.000000,2410.000000,2440.000000,2440.000000,1300700
2021-10-26,2450.000000,2560.000000,2450.000000,2470.000000,2470.000000,6848500
2021-10-27,2480.000000,2520.000000,2460.000000,2460.000000,2460.000000,2178400
2021-10-28,2460.000000,2480.000000,2410.000000,2420.000000,2420.000000,1669800
2021-10-29,2420.000000,2460.000000,2410.000000,2430.000000,2430.000000,952500
2021-11-01,2430.000000,2450.000000,2410.000000,2430.000000,2430.000000,1193200
2021-11-02,2440.000000,2450.000000,2420.000000,2430.000000,2430.000000,587100
2021-11-03,2440.000000,2480.000000,2430.000000,2440.000000,2440.000000,1325100
2021-11-04,2520.000000,2670.000000,2490.000000,2510.000000,2510.000000,22125100
2021-11-05,2540.000000,2550.000000,2430.000000,2470.000000,2470.000000,4570400
2021-11-08,2470.000000,2470.000000,2440.000000,2450.000000,2450.000000,1307800
2021-11-09,2460.000000,2520.000000,2450.000000,2460.000000,2460.000000,3373500
2021-11-10,2460.000000,2480.000000,2440.000000,2460.000000,2460.000000,1078400
2021-11-11,2460.000000,2470.000000,2440.000000,2470.000000,2470.000000,1086300
2021-11-12,2470.000000,2480.000000,2450.000000,2450.000000,2450.000000,924600
2021-11-15,2450.000000,2460.000000,2410.000000,2430.000000,2430.000000,1456200
2021-11-16,2430.000000,2440.000000,2410.000000,2420.000000,2420.000000,1093300
2021-11-17,2420.000000,2430.000000,2400.000000,2410.000000,2410.000000,991000
2021-11-18,2410.000000,2420.000000,2400.000000,2400.000000,2400.000000,942600
2021-11-19,2400.000000,2430.000000,2400.000000,2410.000000,2410.000000,1062400
2021-11-22,2410.000000,2450.000000,2410.000000,2440.000000,2440.000000,1001200
2021-11-23,2440.000000,2450.000000,2410.000000,2420.000000,2420.000000,745000
2021-11-24,2430.000000,2440.000000,2380.000000,2410.000000,2410.000000,2013600
2021-11-25,2420.000000,2480.000000,2410.000000,2460.000000,2460.000000,3756400
2021-11-26,2440.000000,2470.000000,2400.000000,2410.000000,2410.000000,2204800
2021-11-29,2400.000000,2570.000000,2400.000000,2570.000000,2570.000000,17881800
2021-11-30,2610.000000,2810.000000,2480.000000,2740.000000,2740.000000,50483100
2021-12-01,2770.000000,2790.000000,2550.000000,2550.000000,2550.000000,23330700
2021-12-02,2550.000000,2650.000000,2470.000000,2590.000000,2590.000000,9007300
2021-12-03,2610.000000,2610.000000,2520.000000,2550.000000,2550.000000,5210500
2021-12-06,2510.000000,2570.000000,2420.000000,2440.000000,2440.000000,7966000
2021-12-07,2440.000000,2470.000000,2410.000000,2410.000000,2410.000000,4778200
2021-12-08,2410.000000,2600.000000,2410.000000,2550.000000,2550.000000,12978300
2021-12-09,2600.000000,2650.000000,2510.000000,2520.000000,2520.000000,14680200
2021-12-10,2520.000000,2570.000000,2500.000000,2530.000000,2530.000000,2773800
2021-12-13,2530.000000,2550.000000,2500.000000,2510.000000,2510.000000,1630900
2021-12-14,2510.000000,2550.000000,2480.000000,2480.000000,2480.000000,2761400
2021-12-15,2480.000000,2500.000000,2460.000000,2480.000000,2480.000000,1470000
2021-12-16,2500.000000,2720.000000,2480.000000,2590.000000,2590.000000,28076100
2021-12-17,2620.000000,2660.000000,2550.000000,2560.000000,2560.000000,9086100
2021-12-20,2560.000000,2610.000000,2540.000000,2560.000000,2560.000000,3894500
2021-12-21,2560.000000,2600.000000,2520.000000,2530.000000,2530.000000,2729500
2021-12-22,2530.000000,2550.000000,2490.000000,2520.000000,2520.000000,2940500
2021-12-23,2520.000000,2540.000000,2430.000000,2450.000000,2450.000000,3394600
2021-12-24,2450.000000,2460.000000,2420.000000,2430.000000,2430.000000,1317000
2021-12-27,2430.000000,2470.000000,2410.000000,2420.000000,2420.000000,1764000
2021-12-28,2430.000000,2480.000000,2420.000000,2450.000000,2450.000000,1632000
2021-12-29,2460.000000,2480.000000,2440.000000,2440.000000,2440.000000,1193000
2021-12-30,2440.000000,2460.000000,2420.000000,2430.000000,2430.000000,973800
2022-01-03,2430.000000,2500.000000,2420.000000,2490.000000,2490.000000,2029000
2022-01-04,2490.000000,2520.000000,2450.000000,2470.000000,2470.000000,947800
2022-01-05,2480.000000,2490.000000,2450.000000,2450.000000,2450.000000,943500
2022-01-06,2460.000000,2560.000000,2450.000000,2480.000000,2480.000000,4883300
2022-01-07,2480.000000,2500.000000,2430.000000,2440.000000,2440.000000,2872200
2022-01-10,2450.000000,2620.000000,2440.000000,2590.000000,2590.000000,10207500
2022-01-11,2590.000000,2630.000000,2410.000000,2420.000000,2420.000000,10175400
2022-01-12,2420.000000,2450.000000,2330.000000,2350.000000,2350.000000,4179200
2022-01-13,2380.000000,2390.000000,2300.000000,2350.000000,2350.000000,2036400
2022-01-14,2360.000000,2370.000000,2310.000000,2320.000000,2320.000000,2185500
2022-01-17,2360.000000,2370.000000,2320.000000,2320.000000,2320.000000,1520800
2022-01-18,2330.000000,2340.000000,2160.000000,2160.000000,2160.000000,7976500
2022-01-19,2170.000000,2180.000000,2070.000000,2080.000000,2080.000000,3704700
2022-01-20,2070.000000,2120.000000,2040.000000,2070.000000,2070.000000,2399600
2022-01-21,2090.000000,2170.000000,2080.000000,2170.000000,2170.000000,2979900
2022-01-24,2180.000000,2280.000000,2180.000000,2190.000000,2190.000000,3182400
2022-01-25,2200.000000,2200.000000,2110.000000,2120.000000,2120.000000,1402300
2022-01-26,2120.000000,2170.000000,2100.000000,2140.000000,2140.000000,987200
2022-01-27,2150.000000,2210.000000,2140.000000,2190.000000,2190.000000,1941500
2022-01-28,2190.000000,2210.000000,2140.000000,2170.000000,2170.000000,1078800
2022-01-31,2180.000000,2250.000000,2150.000000,2200.000000,2200.000000,2629500
2022-02-02,2220.000000,2230.000000,2170.000000,2190.000000,2190.000000,437200
